,title,artist,top genre,year,tempo,energy,dnce,dB,live,val,dur,acous,spch,Pop,,,
,Never Love Again,Eminem,Hip-hop,2020,92.029,0.899,0.747,-5.125,0.486,0.581,177.547,0.1,0.246,1,,,
,Woods,Mac Miller,Hip-hop,2020,85.011,0.362,0.779,-10.847,0.111,0.46,286.387,0.135,0.0474,1,,,
,Farewell,Eminem,Hip-hop,2020,93.007,0.664,0.89,-6.625,0.257,0.467,247.733,0.00487,0.106,1,,,
,Everybody,Mac Miller,Hip-hop,2020,152.061,0.599,0.875,-9.077,0.113,0.112,256.507,0.0333,0.138,1,,,
,Alfred - Interlude,Eminem,Hip-hop,2020,74.545,0.231,0.429,-20.43,0.279,0.914,30.133,0.878,0.402,1,,,
,Little Engine,Eminem,Hip-hop,2020,155.081,0.811,0.769,-4.162,0.0451,0.76,177.293,0.0234,0.228,1,,,
,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Eminem,Hip-hop,2020,98.743,0.543,0.635,-5.941,0.272,0.036,303,0.0454,0.067,1,,,
,Still Learning,Halsey,Pop,2020,102.046,0.661,0.708,-6.543,0.113,0.317,211.784,0.0396,0.0546,1,,,
,Surf,Mac Miller,Hip-hop,2020,147.279,0.182,0.828,-13.066,0.15,0.231,330.507,0.754,0.166,1,,,
,That's On Me,Mac Miller,Hip-hop,2020,155.199,0.499,0.583,-10.086,0.33,0.342,217.868,0.591,0.0261,1,,,
,Once A Day,Mac Miller,Hip-hop,2020,96.838,0.054,0.762,-16.735,0.124,0.339,160.267,0.947,0.0503,1,,,
,Big Drip,"Ufo361, Future",Trap,2020,158.922,0.535,0.791,-6.753,0.129,0.443,173.785,0.0448,0.311,1,,,
,Hands,Mac Miller,Hip-hop,2020,74.962,0.627,0.739,-8.608,0.159,0.542,199.981,0.0459,0.171,1,,,
,Dans l'espace (feat. Heuss l'EnfoirÃ©),Gambi,Pop,2020,110.05,0.57,0.916,-6.278,0.0851,0.7,169.702,0.0286,0.18,1,,,
,Blanche,"Maes, Booba",Pop,2020,127.987,0.713,0.776,-6.121,0.306,0.551,193.453,0.525,0.143,1,,,
,Vulnerable,Selena Gomez,Pop,2020,100.031,0.573,0.695,-8.882,0.156,0.38,192.172,0.132,0.167,1,,,
,Dance Again,Selena Gomez,Pop,2020,111.984,0.552,0.784,-7.261,0.192,0.465,170.498,0.0447,0.0871,1,,,
,Ring,Selena Gomez,Pop,2020,110.953,0.51,0.873,-5.35,0.0738,0.871,148.776,0.565,0.0661,1,,,
,Crowded Room (feat. 6LACK),Selena Gomez,Pop,2020,89.999,0.415,0.724,-8.408,0.103,0.328,186.459,0.764,0.0518,1,,,
,People You Know,Selena Gomez,Pop,2020,150.032,0.62,0.695,-8.082,0.111,0.62,194.9,0.0881,0.0521,1,,,
,Up All Night,Khalid,Pop,2020,93.992,0.712,0.665,-7.536,0.102,0.669,157.22,0.00103,0.0527,3,,,
,Nice To Meet Ya,Niall Horan,Pop,2020,109.034,0.841,0.591,-4.351,0.395,0.392,158.805,0.0119,0.0304,3,,,
,Into the Unknown,"Idina Menzel, AURORA",Pop,2020,145.104,0.405,0.323,-8.533,0.138,0.274,194.848,0.849,0.0413,3,,,
,Let Me Get Me,Selena Gomez,Pop,2020,121.06,0.571,0.826,-9.263,0.215,0.475,189.145,0.249,0.0426,1,,,
,A Sweeter Place (feat. Kid Cudi),Selena Gomez,Pop,2020,190.054,0.777,0.583,-6.991,0.108,0.31,263.306,0.109,0.185,1,,,
,Stuck In A Dream (feat. Gunna),Lil Mosey,Rap,2020,139.952,0.648,0.748,-6.445,0.126,0.726,123.56,0.484,0.0816,3,,,
,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Trap,2020,139.919,0.8,0.499,-2.665,0.147,0.272,229.573,0.0906,0.0502,3,,,
,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,Rap,2020,92.958,0.673,0.757,-8.513,0.338,0.574,185.806,0.095,0.141,1,,,
,Start Wit Me (feat. Gunna),Roddy Ricch,Rap,2020,130.029,0.479,0.886,-8.054,0.135,0.408,158.692,0.077,0.334,2,,,
,Diamonds (with Normani),Megan Thee Stallion,Pop,2020,94.012,0.753,0.785,-3.841,0.265,0.488,199.301,0.188,0.0873,1,,,
,Death,"Trippie Redd, DaBaby",Rap,2020,164.005,0.82,0.802,-5.969,0.149,0.613,172.196,0.0579,0.146,3,,,
,Cut You Off,Selena Gomez,Pop,2020,139.745,0.294,0.855,-8.676,0.091,0.842,182.017,0.3,0.286,1,,,
,Kinda Crazy,Selena Gomez,Pop,2020,93.03,0.446,0.691,-10.304,0.183,0.534,212.436,0.484,0.0472,1,,,
,2002,Anne-Marie,Pop,2020,96.133,0.683,0.697,-2.881,0.137,0.603,186.987,0.0372,0.117,3,,,
,Family,"The Chainsmokers, Kygo",Pop,2020,117.817,0.607,0.584,-6.605,0.101,0.374,194.827,0.426,0.0356,2,,,
,VALENTINO,24kGoldn,Trap,2020,150.964,0.717,0.746,-4.841,0.132,0.523,179.133,0.199,0.179,2,,,
,Never Really Over,Katy Perry,Pop,2020,99.991,0.882,0.77,-4.792,0.316,0.385,223.523,0.194,0.0602,1,,,
654,Beggin',MÃ¥neskin,"indie rock italiano, italian Pop",2021,134.002,0.8,0.714,-4.808,0.359,0.589,211.56,0.127,0.0504,8,,,
655,STAY (with Justin Bieber),The Kid LAROI,australian Hip-hop,2021,169.928,0.764,0.591,-5.484,0.103,0.478,141.806,0.0383,0.0483,3,,,
656,good 4 u,Olivia Rodrigo,Pop,2021,166.928,0.664,0.563,-5.044,0.0849,0.688,178.147,0.335,0.154,11,,,
657,Bad Habits,Ed Sheeran,"Pop, uk Pop",2021,126.026,0.897,0.808,-3.712,0.364,0.591,231.041,0.0469,0.0348,5,,,
658,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Hip-hop,2021,149.995,0.704,0.736,-7.409,0.0501,0.894,212,0.0203,0.0615,1,,,
659,MONTERO (Call Me By Your Name),Lil Nas X,Hip-hop,2021,178.818,0.508,0.61,-6.682,0.384,0.758,137.876,0.297,0.152,18,,,
660,Kiss Me More (feat. SZA),Doja Cat,Pop/Pop,2021,110.968,0.701,0.762,-3.541,0.123,0.742,208.867,0.235,0.0286,16,,,
661,Todo De Ti,Rauw Alejandro,puerto rican Pop/trap latino,2021,127.949,0.718,0.78,-3.605,0.0932,0.342,199.604,0.31,0.0506,10,,,
662,Yonaguni,Bad Bunny,Trap,2021,179.951,0.648,0.644,-4.601,0.135,0.44,206.71,0.276,0.118,8,,,
663,I WANNA BE YOUR SLAVE,MÃ¥neskin,Pop,2021,132.507,0.608,0.75,-4.008,0.178,0.958,173.347,0.00165,0.0387,10,,,
664,Levitating (feat. DaBaby),Dua Lipa,Pop,2021,102.977,0.825,0.702,-3.787,0.0674,0.915,203.064,0.00883,0.0601,43,,,
665,QuÃ© MÃ¡s Pues?,"J Balvin, Maria Becerra",Pop,2021,101.968,0.819,0.891,-3.964,0.173,0.768,217.773,0.0261,0.106,9,,,
666,Permission to Dance,BTS,K-Pop,2021,124.925,0.741,0.702,-5.33,0.337,0.646,187.585,0.00544,0.0427,3,,,
667,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Pop,2021,90.03,0.696,0.677,-6.181,0.42,0.464,198.082,0.321,0.119,19,,,
668,Butter,BTS,K-Pop,2021,109.997,0.459,0.759,-5.187,0.0906,0.695,164.442,0.00323,0.0948,10,,,
669,traitor,Olivia Rodrigo,Pop,2021,100.607,0.339,0.38,-7.885,0.12,0.0849,229.227,0.691,0.0338,10,,,
670,deja vu,Olivia Rodrigo,Pop,2021,180.917,0.612,0.442,-7.222,0.37,0.178,215.507,0.584,0.112,17,,,
,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Pop,2021,118.091,0.825,0.65,-4.645,0.0936,0.593,191.014,0.0215,0.0325,14,,,
,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Trap,2021,172.031,0.655,0.743,-5.015,0.0764,0.785,261.335,0.114,0.159,5,,,
,Need To Know,Doja Cat,Pop,2021,130.041,0.609,0.664,-6.509,0.0926,0.194,210.56,0.304,0.0707,7,,,
,Volando - Remix,"Mora, Bad Bunny, Sech",Trap,2021,153.979,0.688,0.659,-4.649,0.113,0.632,273.474,0.207,0.0673,3,,,
,Ain't Shit,Doja Cat,Pop,2021,124.097,0.488,0.855,-4.601,0.347,0.619,174.253,0.506,0.208,5,,,
,drivers license,Olivia Rodrigo,Pop,2021,143.875,0.431,0.561,-8.81,0.106,0.137,242.013,0.768,0.0578,29,,,
,Heat Waves,Glass Animals,Pop,2021,80.87,0.525,0.761,-6.9,0.0921,0.531,238.805,0.44,0.0944,31,,,
,happier,Olivia Rodrigo,Pop,2021,168.924,0.443,0.395,-9.72,0.0839,0.338,175.933,0.765,0.133,10,,,
,Pepas,Farruko,Trap,2021,130.001,0.766,0.762,-3.955,0.128,0.442,287.12,0.00776,0.0343,3,,,
,Motley Crew,Post Malone,Trap,2021,129.915,0.631,0.797,-3.818,0.0998,0.288,184.213,0.0904,0.0786,3,,,
,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Pop,2021,122.98,0.862,0.824,-3.424,0.303,0.801,169.153,0.0076,0.126,23,,,
,Astronaut In The Ocean,Masked Wolf,Hip-hop,2021,149.996,0.695,0.778,-6.865,0.15,0.472,132.78,0.175,0.0913,28,,,
,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Pop,2021,148.088,0.616,0.586,-7.964,0.0927,0.719,242.096,0.182,0.0324,21,,,
,Don't Go Yet,Camila Cabello,Pop,2021,110.108,0.796,0.666,-6.967,0.0442,0.61,164.842,0.0492,0.103,1,,,
,favorite crime,Olivia Rodrigo,Pop,2021,172.929,0.272,0.369,-10.497,0.147,0.218,152.667,0.866,0.0364,10,,,
,Pareja Del AÃ±o,"Sebastian Yatra, Myke Towers",Pop,2021,80.015,0.622,0.715,-5.102,0.0948,0.808,195.053,0.163,0.046,15,,,
,RAPSTAR,Polo G,Trap,2021,81.039,0.536,0.789,-6.862,0.129,0.437,165.926,0.41,0.242,16,,,
,You Right,"Doja Cat, The Weeknd",Pop,2021,128.986,0.621,0.828,-6.414,0.0845,0.436,186.173,0.0164,0.0565,5,,,
,911 - Remix,"Sech, Jhay Cortez",Pop,2021,93.02,0.71,0.816,-3.728,0.292,0.784,208.631,0.165,0.0398,3,,,
,DÃKITI,"Bad Bunny, Jhay Cortez",Trap,2021,109.928,0.573,0.731,-10.059,0.113,0.145,205.09,0.401,0.0544,39,,,
,MiÃ©nteme,"TINI, Maria Becerra",Trap,2021,92.003,0.541,0.85,-4.522,0.286,0.916,165.275,0.161,0.0674,13,,,
,"jealousy, jealousy",Olivia Rodrigo,Pop,2021,163.929,0.575,0.695,-6.334,0.0614,0.699,173.16,0.198,0.116,10,,,
,Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Pop,2021,93.005,0.809,0.813,-5.382,0.377,0.646,393.28,0.102,0.0846,6,,,
,The Business,TiÃ«sto,Pop,2021,120.031,0.62,0.798,-7.079,0.112,0.235,164,0.414,0.232,39,,,
,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,Pop,2021,124.111,0.784,0.595,-4.878,0.0608,0.479,183.726,0.216,0.102,10,,,
,Entre Nosotros,"Tiago PZK, LIT killah",Trap,2021,170.064,0.513,0.729,-6.345,0.137,0.789,192.353,0.494,0.0455,3,,,
,Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",Trap,2021,97.99,0.711,0.839,-4.733,0.118,0.573,349.547,0.398,0.0473,6,,,
,Build a Bitch,Bella Poarch,Pop,2021,102.931,0.463,0.855,-7.454,0.347,0.866,122.773,0.217,0.0367,11,,,
,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",Hip-hop,2021,89.907,0.849,0.627,-3.167,0.145,0.818,158.087,0.0913,0.153,4,,,
,Tiroteo - Remix,"Marc SeguÃ­, Rauw Alejandro, Pol Granch",Pop,2021,110.427,0.522,0.75,-7.018,0.0743,0.601,321.556,0.282,0.0293,4,,,
,NDA,Billie Eilish,Pop,2021,85.016,0.373,0.765,-9.921,0.112,0.554,195.777,0.341,0.0713,3,,,
,Rasputin,"Majestic, Boney M.",Pop,2021,128.012,0.839,0.83,-6.985,0.0353,0.59,345.543,0.00201,0.0699,14,,,
,Leave Before You Love Me (with Jonas Brothers),Marshmello,Pop,2021,119.976,0.738,0.721,-4.77,0.118,0.637,154.983,0.00226,0.0403,9,,,
,Meu PedaÃ§o de Pecado,JoÃ£o Gomes,Pop,2021,151.92,0.887,0.668,-4.404,0.257,0.907,157.176,0.369,0.0564,5,,,
,2/Catorce,"Rauw Alejandro, Mr. Naisgai",Pop,2021,83.876,0.455,0.54,-5.988,0.12,0.432,212.032,0.675,0.224,12,,,
,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,Pop,2021,99.048,0.676,0.713,-5.483,0.154,0.721,227.395,0.0377,0.027,21,,,
,Thot Shit,Megan Thee Stallion,Pop,2021,130.02,0.693,0.95,-3.424,0.173,0.891,184.635,0.0133,0.0898,7,,,
,Your Love (9PM),"ATB, Topic, A7S",Hip-hop,2021,125.993,0.784,0.669,-5.603,0.115,0.517,150.053,0.194,0.112,26,,,
,brutal,Olivia Rodrigo,Pop,2021,123.999,0.526,0.672,-6.446,0.28,0.28,143.747,0.0311,0.0599,10,,,
,Save Your Tears,The Weeknd,Pop,2021,118.091,0.825,0.65,-4.645,0.0936,0.593,191.014,0.0215,0.0325,34,,,
,Heartbreak Anniversary,Giveon,Pop,2021,89.087,0.465,0.449,-8.964,0.303,0.543,198.371,0.524,0.0791,24,,,
,Dinero,Trinidad Cardona,Pop,2021,119.997,0.782,0.708,-4.687,0.107,0.484,160.88,0.00772,0.0674,7,,,
,Sweater Weather,The Neighbourhood,Pop,2021,124.053,0.807,0.612,-2.81,0.101,0.398,240.4,0.0495,0.0336,48,,,
,Sobrio,Maluma,Pop,2021,177.998,0.77,0.762,-2.758,0.15,0.631,201.181,0.138,0.223,3,,,
,Over The Top (feat. Drake),Smiley,Hip-hop,2021,139.928,0.498,0.833,-5.196,0.119,0.259,153.406,0.0493,0.117,1,,,
,2055,Sleepy Hallow,Pop,2021,80.511,0.512,0.829,-5.865,0.12,0.638,123.987,0.492,0.187,2,,,
,EL MAKINON,"KAROL G, Mariah Angeliq",Pop,2021,88.863,0.706,0.635,-3.224,0.108,0.443,209.16,0.256,0.125,18,,,
,Loco,"Justin Quiles, Chimbala, Zion & Lennox",Trap,2021,128.05,0.899,0.77,-2.981,0.0894,0.851,231.604,0.222,0.0494,8,,,
,Love Tonight - Edit,Shouse,Hip-hop,2021,123.028,0.681,0.727,-7.114,0.0861,0.448,241.97,0.00214,0.0265,4,,,
,ZITTI E BUONI,MÃ¥neskin,Trap,2021,102.999,0.939,0.625,-3.115,0.424,0.644,194.787,0.00138,0.0669,11,,,
,telepatÃ­a,Kali Uchis,Pop,2021,83.97,0.524,0.653,-9.016,0.203,0.553,160.191,0.112,0.0502,23,,,
,Botella Tras Botella,"Gera MX, Christian Nodal",Hip-hop,2021,106.891,0.546,0.727,-4.572,0.122,0.69,197.333,0.656,0.0437,14,,,
,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Trap,2021,98.005,0.701,0.849,-4.407,0.112,0.505,261.667,0.407,0.06,24,,,
,WITHOUT YOU,The Kid LAROI,Hip-hop,2021,93.005,0.413,0.662,-7.357,0.134,0.467,161.385,0.213,0.0299,34,,,
,Wants and Needs (feat. Lil Baby),Drake,Rap,2021,136.006,0.449,0.578,-6.349,0.119,0.1,192.956,0.0618,0.286,21,,,
,Bezos I,Bo Burnham,Pop,2021,115.044,0.948,0.694,-5.307,0.139,0.705,58.149,0.00936,0.0361,2,,,
,Goosebumps - Remix,"Travis Scott, HVME",Rap,2021,124.917,0.593,0.841,-7.846,0.124,0.808,162.803,0.418,0.0379,28,,,
,BED,"Joel Corry, RAYE, David Guetta",Pop,2021,123.989,0.782,0.671,-4.593,0.333,0.618,178.088,0.0142,0.0341,20,,,
,Iko Iko (My Bestie),"Justin Wellington, Small Jam",Pop,2021,105.039,0.753,0.862,-5.356,0.077,0.827,182.857,0.131,0.0625,8,,,
,Better Believe,"Belly, The Weeknd, Young Thug",Hip-hop,2021,124.995,0.573,0.797,-7.85,0.144,0.445,206.629,0.159,0.319,1,,,
,Arcade,Duncan Laurence,Pop,2021,71.884,0.329,0.45,-12.603,0.135,0.266,183.624,0.818,0.0441,25,,,
,512,"Mora, Jhay Cortez",Trap,2021,87.961,0.673,0.818,-7.542,0.172,0.695,193.636,0.348,0.148,13,,,
,Blaues Licht,"RAF Camora, Bonez MC",Hip-hop,2021,144.955,0.835,0.819,-4.899,0.252,0.703,144.264,0.398,0.102,1,,,
,Ram Pam Pam,"Natti Natasha, Becky G",Pop,2021,97.018,0.813,0.908,-2.749,0.278,0.924,200.785,0.305,0.0777,10,,,
,In Da Getto,"J Balvin, Skrillex",Pop,2021,126.986,0.72,0.915,-3.126,0.0942,0.631,131.067,0.025,0.0459,4,,,
,Woman,Doja Cat,Pop,2021,107.998,0.764,0.824,-4.175,0.117,0.881,172.627,0.0888,0.0854,3,,,
,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,Pop,2021,90.021,0.83,0.39,-5.201,0.156,0.191,168.03,0.0021,0.0563,8,,,
,Clash (feat. Stormzy),Dave,Hip-hop,2021,140.013,0.519,0.871,-6.549,0.0869,0.532,251.733,0.313,0.258,2,,,
,Reckless,Madison Beer,Pop,2021,180.104,0.426,0.386,-6.642,0.14,0.261,203.385,0.807,0.0363,5,,,
,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,Pop,2021,180.003,0.812,0.769,-2.088,0.0781,0.926,280.274,0.281,0.0825,5,,,
,Talking to the Moon,Bruno Mars,Pop,2021,145.837,0.606,0.523,-4.754,0.106,0.065,217.867,0.512,0.0301,19,,,
,Sal y Perrea,Sech,Trap,2021,90.025,0.899,0.786,-0.515,0.299,0.813,216.51,0.192,0.127,11,,,
,Fulanito,"Becky G, El Alfa",Pop,2021,111.898,0.837,0.93,-4.632,0.239,0.821,158.532,0.256,0.187,3,,,
,ParÃ­s,Ingratax,Pop,2021,167.933,0.455,0.57,-5.748,0.0654,0.399,151.429,0.441,0.0996,1,,,
,double take,dhruv,Pop,2021,109.075,0.434,0.663,-11.177,0.249,0.225,171.743,0.828,0.0648,3,,,
,Streets,Doja Cat,Pop,2021,90.035,0.463,0.749,-8.433,0.338,0.189,226.987,0.21,0.0842,29,,,
,By Your Side (feat. Tom Grennan),Calvin Harris,Pop,2021,124.01,0.96,0.733,-3.597,0.287,0.811,189.672,0.0514,0.0295,8,,,
,MORENA,Luan Santana,Pop,2021,86.959,0.731,0.526,-4.662,0.0891,0.476,193.221,0.18,0.0887,3,,,
,Hold On,Justin Bieber,Pop,2021,139.98,0.634,0.658,-5.797,0.132,0.29,170.813,0.0106,0.0413,21,,,
,2:50 Remix,"MYA, TINI, Duki",Pop,2021,139.966,0.812,0.818,-4.425,0.234,0.844,231.708,0.112,0.0475,5,,,
,The Nights,Avicii,Pop,2021,125.983,0.835,0.527,-5.298,0.249,0.654,176.658,0.0166,0.0433,18,,,
,Riptide,Vance Joy,Pop,2021,101.654,0.731,0.484,-6.694,0.151,0.51,204.28,0.431,0.0379,37,,,
,enough for you,Olivia Rodrigo,Pop,2021,88.485,0.259,0.638,-10.706,0.219,0.269,202.827,0.753,0.0898,10,,,
,Daddy Issues,The Neighbourhood,Pop,2021,85.012,0.521,0.588,-9.461,0.123,0.337,260.173,0.0678,0.0329,42,,,
,Aquelas Coisas,JoÃ£o Gomes,Pop,2021,150.006,0.873,0.682,-4.163,0.0946,0.964,147.072,0.402,0.0449,3,,,
,Miss The Rage (feat. Playboi Carti),Trippie Redd,Rap,2021,77.005,0.859,0.584,-5.616,0.847,0.369,236.883,0.0144,0.121,12,,,
,Another Love,Tom Odell,Pop,2021,122.764,0.537,0.445,-8.532,0.0941,0.131,244.36,0.695,0.04,16,,,
,Here's Your Perfect,Jamie Miller,Pop,2021,113.12,0.454,0.558,-5.335,0.146,0.424,158.594,0.499,0.0551,4,,,
,Take Me To Church,Hozier,Pop,2021,128.945,0.664,0.566,-5.303,0.116,0.437,241.693,0.634,0.0464,37,,,
,Little Bit of Love,Tom Grennan,Pop,2021,106.52,0.706,0.689,-4.48,0.105,0.623,226.268,0.0833,0.0312,13,,,
,Ficha Limpa,Gusttavo Lima,Pop,2021,135.005,0.732,0.774,-4.227,0.243,0.734,192.725,0.108,0.0308,4,,,
,Up,Cardi B,Pop,2021,166,0.795,0.868,-6.044,0.0461,0.819,156.945,0.0012,0.269,25,,,
,New Normal,Khalid,Pop,2021,92.047,0.534,0.39,-9.575,0.184,0.244,198.765,0.0807,0.0709,1,,,
,Bandido,"Myke Towers, Juhn",Trap,2021,168.021,0.617,0.713,-4.637,0.0962,0.682,232.853,0.122,0.0887,32,,,
,Paradise (feat. Dermot Kennedy),MEDUZA,Pop,2021,124.114,0.595,0.632,-7.644,0.209,0.435,167.903,0.0689,0.0401,39,,,
,Wasted Love (feat. Lagique),Ofenbach,Pop,2021,121.955,0.855,0.734,-4.578,0.0901,0.54,139.563,0.0821,0.135,18,,,
,KESI - Remix,"Camilo, Shawn Mendes",Pop,2021,122.959,0.815,0.871,-4.439,0.094,0.823,176.575,0.127,0.0477,2,,,
,Tell Em,"Cochise, $NOT",Pop,2021,157.905,0.717,0.672,-7.476,0.398,0.473,180.38,0.103,0.226,9,,,
,"NÃ£o, NÃ£o Vou",Mari Fernandez,Pop,2021,149.95,0.861,0.631,-1.891,0.215,0.822,173.038,0.427,0.0424,5,,,
,Counting Stars,OneRepublic,Pop,2021,122.017,0.705,0.664,-4.972,0.115,0.477,257.84,0.0654,0.0382,24,,,
,Yellow,Coldplay,Pop,2021,173.372,0.661,0.429,-7.227,0.234,0.285,266.773,0.00239,0.0281,32,,,
,Como Si No Importara,"Emilia, Duki",Pop,2021,94.984,0.534,0.843,-6.658,0.0984,0.528,173.053,0.467,0.142,1,,,
,Se For Amor,"JoÃ£o Gomes, Vitor Fernandes",Pop,2021,147.962,0.899,0.667,-4.402,0.332,0.835,239.928,0.423,0.0322,1,,,
,Wake Me Up,Avicii,Pop,2021,124.08,0.783,0.532,-5.697,0.161,0.643,247.427,0.0038,0.0523,23,,,
,Baby Me Atende,"Matheus Fernandes, Dilsinho",Pop,2021,154.027,0.792,0.65,-3.825,0.92,0.872,225.672,0.607,0.0393,7,,,
,Ramenez la coupe Ã  la maison,Vegedream,Pop,2021,107.994,0.66,0.808,-6.237,0.138,0.804,235.556,0.0358,0.0395,6,,,
,Runaway,AURORA,Pop,2021,115.01,0.277,0.521,-10.34,0.103,0.13,248.827,0.634,0.0356,18,,,
,Red Light Green Light,DaBaby,Hip-hop,2021,119.987,0.656,0.933,-5.85,0.161,0.934,159.083,0.129,0.322,5,,,
,Ball If I Want To,DaBaby,Hip-hop,2021,139.949,0.669,0.902,-5.049,0.0728,0.628,112.547,0.161,0.457,5,,,
,Calling My Phone,"Lil Tjay, 6LACK",Pop,2021,104.949,0.393,0.907,-7.636,0.135,0.202,205.458,0.451,0.0539,24,,,
,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Pop,2021,159.702,0.594,0.476,-6.879,0.0785,0.314,141.05,0.0599,0.135,18,,,
,"1 step forward, 3 steps back",Olivia Rodrigo,Pop,2021,168.884,0.203,0.473,-12.627,0.126,0.419,163.587,0.941,0.102,10,,,
,Mr. Brightside,The Killers,Pop,2021,148.017,0.924,0.356,-3.74,0.0953,0.232,222.587,0.00101,0.0808,22,,,
,Every Breath You Take,The Police,Pop,2021,117.401,0.452,0.82,-9.796,0.0714,0.74,253.92,0.543,0.0348,27,,,
,Say You Won't Let Go,James Arthur,Pop,2021,85.043,0.557,0.358,-7.398,0.0902,0.494,211.467,0.695,0.059,82,,,
,Wild Side (feat. Cardi B),Normani,Pop,2021,110.095,0.576,0.74,-6.744,0.104,0.315,209.476,0.0249,0.146,2,,,
,Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,Pop,2021,145.043,0.67,0.716,-6.995,0.13,0.411,203.586,0.526,0.101,2,,,
,Demeanor (feat. Dua Lipa),Pop Smoke,Pop,2021,99.865,0.608,0.675,-6.934,0.11,0.728,184.8,0.336,0.103,2,,,
,Our Song,"Anne-Marie, Niall Horan",Pop,2021,80.953,0.759,0.595,-4.245,0.172,0.515,163.733,0.141,0.0423,9,,,
,Another One Bites The Dust - Remastered 2011,Queen,Trap,2021,109.975,0.528,0.933,-6.472,0.163,0.756,214.653,0.112,0.162,22,,,
,One Dance,"Drake, WizKid, Kyla",Rap,2021,103.967,0.625,0.792,-5.609,0.329,0.37,173.987,0.00776,0.0536,14,,,
,As the World Caves In,Sarah Cothran,Pop,2021,124.026,0.25,0.422,-6.836,0.35,0.246,161.613,0.441,0.0351,4,,,
,Fancy Like,Walker Hayes,Hip-hop,2021,80.018,0.76,0.649,-6.487,0.317,0.843,161.853,0.114,0.0574,1,,,
,CÃºrame,Rauw Alejandro,Trap,2021,102.101,0.625,0.765,-3.599,0.112,0.262,164.706,0.584,0.0548,1,,,
,All of Me,John Legend,Pop,2021,119.93,0.264,0.422,-7.064,0.132,0.331,269.56,0.922,0.0322,78,,,
,Martin & Gina,Polo G,Trap,2021,93.924,0.534,0.832,-7.813,0.165,0.116,132.833,0.345,0.253,41,,,
,Best Friend (feat. Doja Cat),Saweetie,Pop,2021,94.018,0.766,0.84,-4.12,0.0684,0.402,155.884,0.00302,0.136,29,,,
,The Hills,The Weeknd,Pop,2021,113.003,0.564,0.585,-7.063,0.135,0.137,242.253,0.0671,0.0515,22,,,
,Good Days,SZA,Pop,2021,121.002,0.655,0.436,-8.37,0.688,0.412,279.204,0.499,0.0583,31,,,
,Kiss My (Uh Oh),"Anne-Marie, Little Mix",Pop,2021,103.948,0.878,0.638,-3.639,0.308,0.481,176.8,0.0151,0.0484,1,,,
,De Museo,Bad Bunny,Trap,2021,132.037,0.494,0.592,-10.618,0.13,0.231,209.771,0.237,0.0747,3,,,
,Chosen (feat. Ty Dolla $ign),"Blxst, Tyga",Pop,2021,93.421,0.767,0.571,-5.16,0.0809,0.605,161.684,0.336,0.287,1,,,
,NÃ£o Nasceu pra Namorar,"MC Zaquin, MC Rick",Hip-hop,2021,83.406,0.448,0.525,-4.075,0.0922,0.527,140.308,0.14,0.0443,5,,,
,penhasco.,LuÃ­sa Sonza,Pop,2021,77.249,0.467,0.43,-8.56,0.0933,0.382,186.121,0.775,0.051,1,,,
,Late At Night,Roddy Ricch,Rap,2021,98.54,0.403,0.643,-11.254,0.138,0.111,174.682,0.343,0.41,8,,,
,Verdansk,Dave,Hip-hop,2021,117.078,0.502,0.961,-8.605,0.145,0.536,182.285,0.28,0.312,1,,,
,The Real Slim Shady,Eminem,Hip-hop,2021,104.504,0.661,0.949,-4.244,0.0454,0.76,284.2,0.0302,0.0572,12,,,
,Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,Pop,2021,143.971,0.686,0.662,-8.302,0.349,0.678,215,0.251,0.332,1,,,
,Woo Baby (feat. Chris Brown),Pop Smoke,Pop,2021,99.772,0.672,0.563,-7.226,0.0972,0.284,156,0.359,0.0765,1,,,
,Holy Smokes,"Trippie Redd, Lil Uzi Vert",Rap,2021,187.815,0.527,0.437,-6.967,0.153,0.701,181.714,0.185,0.465,1,,,
